# timestamps [seconds],pts
38818.216099,0
38818.243809,1815
38818.275781,3911
38818.312158,6295
38818.343928,8377
38818.379747,10724
38818.416845,13155
38818.443824,14923
38818.479831,17283
38818.512260,19408
38818.543924,21484
38818.579830,23837
38818.611812,25933
38818.647942,28300
38818.679867,30393
38818.711841,32488
38818.747828,34846
38818.779789,36941
38818.811641,39028
38818.847888,41404
38818.879770,43493
38818.915734,45850
38818.947794,47951
38818.979849,50052
38819.015867,52412
38819.047849,54508
38819.079832,56604
38819.115840,58964
38819.147777,61057
38819.184155,63441
38819.216063,65532
38819.247811,67613
38819.283677,69963
38819.315762,72066
38819.347938,74175
38819.448191,80745
38819.487489,83320
38819.519786,85437
38819.551866,87539
38819.583832,89634
38819.615764,91727
38819.651668,94080
38819.683636,96175
38819.719894,98551
38819.751931,100650
38819.783896,102745
38819.819790,105097
38819.851759,107192
38819.887843,109557
38819.919890,111657
38819.951942,113758
38819.987866,116112
38820.019847,118208
38820.051855,120306
38820.088083,122680
38820.119886,124764
38820.155770,127116
38820.187839,129217
38820.219817,131313
38820.255899,133678
38820.287839,135771
38820.319935,137874
38820.355948,140235
38820.387791,142321
38820.423978,144693
38820.455914,146786
38820.488158,148899
38820.523841,151237
38820.555772,153330
38820.587764,155427
38820.623981,157800
38820.656179,159910
38820.691776,162243
38820.723849,164345
38820.755940,166448
38820.791908,168805
38820.824112,170916
38820.855956,173003
38820.892062,175369
38820.923827,177450
38820.960142,179830
38820.991859,181909
38821.024005,184016
38821.059768,186359
38821.091906,188466
38821.123805,190556
38821.159925,192923
38821.191905,195019
38821.227782,197370
38821.259808,199469
38821.291699,201559
38821.327875,203930
38821.359805,206022
38821.391749,208116
38821.428166,210502
38821.459793,212575
38821.495694,214928
38821.527846,217035
38821.559784,219128
38821.595823,221490
38821.627836,223588
38821.663836,225947
38821.695903,228048
38821.728176,230163
38821.764082,232517
38821.796062,234612
38821.827796,236692
38821.863832,239054
38821.895823,241150
38821.931887,243514
38821.963941,245614
38821.996046,247718
38822.031882,250067
38822.063796,252158
38822.096229,254284
38822.131786,256614
38822.164068,258730
38822.199948,261081
38822.231927,263177
38822.264071,265283
38822.299790,267624
38822.331782,269721
38822.363890,271825
38822.399920,274186
38822.432012,276289
38822.467865,278639
38822.499713,280726
38822.531775,282827
