# timestamps [seconds],pts
4343.849995,0
4343.881590,2070
4343.917789,4442
4343.949365,6512
4344.018712,11056
4344.049797,13094
4344.081631,15180
4344.117327,17519
4344.149343,19617
4344.185253,21971
4344.217515,24085
4344.249367,26172
4344.285240,28523
4344.317339,30627
4344.349429,32730
4344.385333,35083
4344.417480,37190
4344.453546,39553
4344.485109,41622
4344.517230,43727
4344.553519,46105
4344.585604,48208
4344.617321,50286
4344.653237,52640
4344.685196,54734
4344.721334,57103
4344.753386,59203
4344.785494,61307
4344.821266,63652
4344.853200,65745
4344.885175,67840
4344.921327,70209
4344.953540,72320
4344.989404,74671
4345.021265,76759
4345.053408,78865
4345.089540,81233
4345.121475,83326
4345.153783,85443
4345.189455,87781
4345.221224,89863
4345.257155,92218
4345.289442,94334
4345.321506,96435
4345.357582,98799
4345.389806,100911
4345.425574,103255
4345.457256,105331
4345.489238,107427
4345.525174,109782
4345.557438,111897
4345.589477,113996
4345.625347,116347
4345.657587,118460
4345.693419,120808
4345.725318,122899
4345.757323,124996
4345.793742,127383
4345.825600,129471
4345.857372,131553
4345.893326,133909
4345.925357,136008
4345.961283,138363
4345.993311,140462
4346.025230,142554
4346.061285,144916
4346.093462,147025
4346.125331,149114
4346.161507,151484
4346.193517,153582
4346.229361,155931
4346.261387,158030
4346.293672,160146
4346.329444,162490
4346.361232,164573
4346.393222,166670
4346.429417,169042
4346.461281,171130
4346.497419,173498
4346.529746,175617
4346.561284,177684
4346.597543,180060
4346.629324,182143
4346.661400,184245
4346.697267,186595
4346.729164,188686
4346.765402,191061
4346.797306,193152
4346.829322,195250
4346.865200,197601
4346.897525,199719
4346.933172,202056
4346.965275,204159
4346.997401,206265
4347.033503,208631
4347.065251,210711
4347.097216,212806
4347.133303,215171
4347.165088,217254
4347.201199,219621
4347.233424,221733
4347.265634,223843
4347.301251,226178
4347.333178,228270
4347.365308,230376
4347.401549,232751
4347.433228,234827
4347.469422,237199
4347.501501,239301
4347.533438,241394
4347.569295,243744
4347.601449,245851
4347.633541,247954
4347.669166,250289
4347.701079,252380
4347.737171,254746
4347.769207,256845
4347.801281,258947
4347.837332,261310
4347.869383,263410
4347.901292,265501
4347.937346,267864
4347.969338,269961
4348.018710,273196
4348.048576,275154
4348.082126,277352
4348.108396,279074
4348.137184,280960
4348.169204,283059
4348.205410,285432
4348.237079,287507
4348.273329,289883
4348.305319,291979
4348.337338,294078
4348.373343,296437
4348.405250,298528
4348.437137,300618
4348.473523,303002
4348.505532,305100
4348.541372,307449
4348.574078,309592
4348.605530,311653
4348.641526,314012
4348.673629,316116
4348.709541,318470
4348.741613,320572
4348.773229,322644
4348.809580,325026
4348.841813,327138
4348.873458,329212
4348.909316,331562
4348.941348,333661
4348.977679,336042
4349.009411,338122
4349.041463,340222
4349.077260,342568
4349.109335,344670
4349.141357,346769
4349.177472,349136
4349.209514,351236
4349.245303,353581
4349.277100,355665
4349.309376,357780
4349.345297,360134
4349.377459,362242
4349.409621,364350
4349.445560,366705
4349.477122,368773
4349.513347,371147
4349.545805,373274
4349.577603,375358
4349.613962,377741
4349.645355,379798
4349.677585,381911
4349.713320,384253
4349.745199,386342
4349.781419,388715
4349.813826,390839
4349.845516,392916
4349.881736,395290
4349.913259,397356
4349.945261,399453
4349.981473,401826
4350.013356,403915
4350.049266,406269
4350.085611,408651
4350.119290,410858
4350.149148,412814
4350.183695,415079
4350.217256,417278
4350.250430,419452
4350.281294,421475
4350.317142,423824
4350.349231,425927
4350.381121,428017
4350.417225,430383
4350.450498,432563
4350.484952,434821
4350.517030,436924
4350.549928,439080
4350.585413,441405
4350.617165,443486
4350.649272,445590
4350.685364,447955
4350.717498,450061
4350.753471,452419
4350.785522,454519
4350.817430,456610
4350.853346,458964
4350.885184,461051
4350.917506,463169
4350.953353,465518
4350.985343,467615
4351.021346,469974
4351.053278,472067
4351.085209,474159
4351.121446,476534
4351.153733,478650
4351.185457,480729
4351.221339,483081
4351.253287,485174
4351.289360,487538
4351.321449,489641
4351.353691,491754
4351.389579,494106
4351.421529,496200
4351.453352,498286
4351.489505,500655
4351.521668,502763
4351.557176,505090
4351.589680,507220
4351.621347,509295
4351.657490,511664
4351.689448,513758
4351.725184,516100
4351.757086,518191
4351.789528,520317
4351.825388,522667
4351.857438,524767
4351.889632,526877
4351.925458,529225
4351.957335,531314
4351.993509,533685
4352.025477,535780
4352.057504,537879
4352.093384,540230
4352.125176,542313
4352.157503,544432
4352.193493,546791
4352.225611,548895
4352.261264,551232
4352.293299,553331
4352.325190,555421
4352.361671,557812
4352.393425,559893
4352.425434,561991
4352.461267,564339
4352.493185,566431
4352.529501,568811
4352.561345,570898
4352.593394,572998
4352.629329,575353
4352.661555,577465
4352.693378,579551
4352.729458,581915
4352.761474,584013
4352.797455,586371
4352.829439,588467
4352.861061,590540
4352.897421,592923
4352.929457,595022
4352.961507,597122
4352.997492,599481
4353.029316,601566
4353.065779,603956
4353.097485,606034
4353.129487,608131
4353.165387,610484
4353.197455,612585
4353.229040,614655
4353.265510,617045
4353.297380,619134
4353.333252,621485
4353.365190,623578
4353.397367,625687
4353.433390,628047
4353.465172,630130
4353.501348,632501
4353.533357,634599
4353.565277,636691
4353.601439,639060
4353.633459,641159
4353.665347,643249
4353.701072,645590
4353.733092,647688
4353.769303,650061
4353.801430,652167
4353.833353,654259
4353.869591,656634
4353.901332,658714
4353.933080,660794
4353.969667,663192
4354.001622,665286
4354.037270,667623
4354.069383,669727
4354.101465,671830
4354.137354,674182
4354.169406,676282
4354.201391,678378
4354.237649,680754
4354.269312,682829
4354.305265,685186
4354.337137,687274
4354.369706,689409
4354.405264,691739
4354.437342,693841
4354.469132,695925
4354.505458,698305
4354.537266,700390
4354.573349,702755
4354.605591,704867
4354.637342,706948
4354.673670,709329
4354.705249,711399
4354.737341,713502
4354.773163,715849
4354.805268,717953
4354.841867,720352
4354.873480,722424
4354.905252,724506
4354.941488,726880
4354.973443,728975
4355.009514,731339
4355.041493,733434
4355.073420,735527
4355.109450,737888
4355.141228,739970
4355.173276,742071
4355.209823,744466
4355.241588,746548
4355.277328,748890
4355.309314,750986
4355.341594,753101
4355.377339,755444
4355.409348,757542
4355.441541,759651
4355.477333,761997
4355.509063,764077
4355.545482,766463
4355.577239,768544
4355.609321,770647
4355.645314,773006
4355.677141,775092
4355.709191,777192
4355.745265,779556
4355.777320,781657
4355.813414,784022
4355.845117,786100
4355.877252,788206
4355.913386,790574
4355.945464,792676
4355.977476,794774
4356.013484,797134
4356.045325,799220
4356.081492,801591
4356.113313,803676
4356.145509,805786
4356.181760,808162
4356.213536,810244
4356.245279,812324
4356.281453,814695
4356.313233,816778
4356.349504,819155
4356.381364,821243
4356.413546,823352
4356.449449,825705
4356.481282,827791
4356.513663,829913
4356.549393,832255
4356.581393,834352
4356.617586,836724
4356.649598,838821
4356.681749,840928
4356.717354,843262
4356.749360,845359
4356.785254,847712
4356.817325,849813
4356.849521,851923
4356.885100,854255
4356.917845,856401
4356.949390,858468
4356.985456,860832
4357.017614,862939
4357.053487,865290
4357.085488,867388
4357.117326,869474
4357.153809,871865
4357.185315,873930
4357.217320,876027
4357.253360,878389
4357.285282,880481
4357.321547,882858
4357.353315,884940
4357.385344,887039
4357.421320,889396
4357.453418,891500
4357.485690,893615
4357.521374,895953
4357.553638,898068
4357.589478,900417
4357.621360,902506
4357.653313,904600
4357.689354,906962
4357.721304,909056
4357.753523,911167
4357.789295,913512
4357.821135,915598
4357.857330,917970
4357.889443,920075
4357.921482,922174
4357.957127,924510
4357.989429,926627
4358.021188,928709
4358.057549,931092
4358.089499,933185
4358.125595,935551
4358.157490,937641
4358.189627,939747
4358.225389,942091
4358.257366,944187
4358.293776,946573
4358.325174,948630
4358.357159,950726
4358.393602,953115
4358.425615,955213
4358.457296,957289
4358.493259,959646
4358.525128,961734
4358.561356,964109
4358.594076,966253
4358.625356,968303
4358.661228,970654
4358.693367,972760
4358.725908,974892
4358.761359,977216
4358.793455,979319
4358.829371,981673
4358.861076,983751
4358.893287,985862
4358.929469,988233
4358.961393,990325
4358.993484,992428
4359.029610,994796
4359.061294,996872
4359.097624,999253
4359.129539,1001344
4359.161633,1003448
4359.197498,1005798
4359.229524,1007897
4359.261771,1010010
4359.297523,1012353
4359.329484,1014448
4359.365137,1016784
4359.397548,1018908
4359.429477,1021001
4359.465630,1023370
4359.497175,1025437
4359.529498,1027556
4359.565294,1029902
4359.597372,1032004
4359.633727,1034386
4359.665761,1036486
4359.697299,1038553
4359.733249,1040909
4359.765450,1043019
4359.801377,1045373
4359.833611,1047486
4359.865141,1049552
4359.901244,1051918
4359.933566,1054036
4359.965608,1056136
4360.001946,1058518
4360.033398,1060579
4360.069322,1062933
4360.101469,1065040
4360.133852,1067162
4360.169625,1069506
4360.201230,1071578
4360.233671,1073704
4360.269358,1076042
4360.301264,1078133
4360.337502,1080508
4360.369647,1082615
4360.401360,1084693
4360.437538,1087064
4360.469470,1089157
4360.501612,1091263
4360.537144,1093592
4360.569553,1095716
4360.605772,1098089
4360.637182,1100148
4360.669520,1102267
4360.705547,1104628
4360.737625,1106730
4360.770113,1108859
4360.805736,1111194
4360.837376,1113268
4360.873423,1115630
