world_index,world_timestamp,surface_name,event_type
6,4344.081631,Surface 1,enter
6,4344.081631,Surface 1,exit
31,4344.921327,Surface 1,enter
31,4344.921327,Surface 1,exit
42,4345.289442,Surface 1,enter
42,4345.289442,Surface 1,exit
53,4345.657587000001,Surface 1,enter
53,4345.657587000001,Surface 1,exit
295,4353.769303,Surface 1,enter
295,4353.769303,Surface 1,exit
307,4354.169406,Surface 1,enter
307,4354.169406,Surface 1,exit
317,4354.5054580000005,Surface 1,enter
328,4354.87348,Surface 1,exit
330,4354.941488,Surface 1,enter
349,4355.577239,Surface 1,exit
352,4355.677141,Surface 1,enter
369,4356.245279000001,Surface 1,exit
371,4356.313233,Surface 1,enter
387,4356.849521,Surface 1,exit
389,4356.917845,Surface 1,enter
389,4356.917845,Surface 1,exit
391,4356.985456,Surface 1,enter
424,4358.089499000001,Surface 1,exit
426,4358.1574900000005,Surface 1,enter
432,4358.357159,Surface 1,exit
434,4358.425615,Surface 1,enter
435,4358.4572960000005,Surface 1,exit
437,4358.525128,Surface 1,enter
438,4358.561356,Surface 1,exit
440,4358.6253560000005,Surface 1,enter
449,4358.929469000001,Surface 1,exit
451,4358.9934840000005,Surface 1,enter
455,4359.1295390000005,Surface 1,exit
457,4359.197498,Surface 1,enter
479,4359.933566000001,Surface 1,exit
481,4360.001946,Surface 1,enter
488,4360.233671,Surface 1,exit
490,4360.301264000001,Surface 1,enter
574,4363.119358,Surface 1,exit
576,4363.185396,Surface 1,enter
576,4363.185396,Surface 1,exit
578,4363.253736000001,Surface 1,enter
636,4365.202934,Surface 1,exit
638,4365.268425,Surface 1,enter
642,4365.403756000001,Surface 1,exit
644,4365.4707530000005,Surface 1,enter
655,4365.83957,Surface 1,exit
657,4365.906859000001,Surface 1,enter
662,4366.074468000001,Surface 1,exit
664,4366.142169000001,Surface 1,enter
679,4366.645316,Surface 1,exit
681,4366.712568,Surface 1,enter
758,4369.29564,Surface 1,exit
760,4369.36272,Surface 1,enter
761,4369.396421,Surface 1,exit
763,4369.4635960000005,Surface 1,enter
801,4370.736692,Surface 1,exit
804,4370.8376370000005,Surface 1,enter
804,4370.8376370000005,Surface 1,exit
806,4370.904497,Surface 1,enter
811,4371.073196,Surface 1,exit
815,4371.207848,Surface 1,enter
827,4371.609704,Surface 1,exit
829,4371.6770670000005,Surface 1,enter
896,4373.925564,Surface 1,exit
898,4373.991345,Surface 1,enter
898,4373.991345,Surface 1,exit
900,4374.059667,Surface 1,enter
923,4374.830516,Surface 1,exit
925,4374.896829,Surface 1,enter
937,4375.300256,Surface 1,exit
939,4375.367653,Surface 1,enter
942,4375.467573,Surface 1,exit
944,4375.5345800000005,Surface 1,enter
961,4376.105673,Surface 1,exit
963,4376.172100000001,Surface 1,enter
1044,4378.8887700000005,Surface 1,exit
1047,4378.990154,Surface 1,enter
1052,4379.157808,Surface 1,exit
1054,4379.225432,Surface 1,enter
1062,4379.49354,Surface 1,exit
1064,4379.560928,Surface 1,enter
1068,4379.695264,Surface 1,exit
1070,4379.762093,Surface 1,enter
1074,4379.89641,Surface 1,exit
1076,4379.963498,Surface 1,enter
1080,4380.097428,Surface 1,exit
1082,4380.164786,Surface 1,enter
1094,4380.56803,Surface 1,exit
1096,4380.635002,Surface 1,enter
1173,4383.221662,Surface 1,exit
1175,4383.289723,Surface 1,enter
1178,4383.389486,Surface 1,exit
1180,4383.458794,Surface 1,enter
1187,4383.693485000001,Surface 1,exit
1189,4383.758829,Surface 1,enter
1253,4385.919016000001,Surface 1,exit
1255,4385.984785000001,Surface 1,enter
1255,4385.984785000001,Surface 1,exit
1257,4386.052163,Surface 1,enter
1268,4386.490611,Surface 1,exit
1270,4386.55757,Surface 1,enter
1270,4386.55757,Surface 1,exit
1272,4386.6263930000005,Surface 1,enter
1313,4388.011978,Surface 1,exit
1315,4388.078073000001,Surface 1,enter
1331,4388.615442,Surface 1,exit
1333,4388.6819080000005,Surface 1,enter
1355,4389.422056,Surface 1,exit
1357,4389.489549,Surface 1,enter
1381,4390.293337,Surface 1,exit
1383,4390.361599,Surface 1,enter
1387,4390.493588,Surface 1,exit
1390,4390.597421,Surface 1,enter
1391,4390.629556,Surface 1,exit
